Date,DJI,MMM,GE,NKE,AXP,GS,PFE,AAPL,HD,PG,BA,INTC,TRV,CAT,IBM,UNH,CVX,JNJ,UTX,CSCO,JPM,VZ,KO,MCD,V,DD,MRK,WMT,XOM,MSFT,DIS,DWDP,WBA,DOW,RTX,AMGN,HON,CRM,AMZN
24-02-2023,32816.92188,83.67827606,66.15120697,115.1531601,170.2668457,346.0372314,38.57275391,145.5649109,283.2113953,134.1287689,198.1499939,24.53733063,178.6834564,229.6874542,122.4845657,471.592926,152.6819458,148.9722748,,45.91928482,134.6462708,34.36660767,56.71757126,253.2562714,217.0031281,70.43416595,104.8916092,46.32490921,105.2154083,246.3022156,99.51506042,,32.23099518,52.7923317,95.87447357,222.9107208,185.8475952,161.4831238,93.5
27-02-2023,32889.08984,84.04310608,66.38082123,115.6311951,169.3385773,347.6349182,37.67657471,146.7654724,282.5908813,134.0131989,200.4600067,24.30308342,178.6834564,233.392868,122.409523,470.6094666,153.0673981,148.647522,,46.15607834,135.8214417,34.49080276,56.6986084,254.3127899,217.7938538,70.89040375,104.3857193,45.99000168,105.0253906,247.2312317,99.66388702,,31.861866,52.69986343,95.43177032,223.6643677,186.2444,162.4189606,93.76000214
28-02-2023,32656.69922,83.6317215,67.06964111,115.8848343,170.0127716,334.4344788,37.48254776,146.2594604,283.0968628,132.4914246,201.5500031,24.33236504,178.4809723,232.9746552,121.2932053,463.423584,151.1401825,146.3838348,,45.86245346,136.9584045,34.42870331,56.40478516,254.9407196,217.3886108,70.89040375,101.4076309,46.21434784,104.4173889,246.4998779,98.83046722,,31.9879055,52.89405441,94.4019928,221.0027161,185.3056793,162.8868866,94.23000336
01-03-2023,32661.83984,85.5490036,66.61834717,115.6799698,171.888916,331.6375427,37.12223434,144.1758423,277.6075439,132.5877228,204.5500031,24.72277451,177.4493561,241.8443298,120.2519379,462.7225342,152.3435059,145.724823,,45.78668213,136.1940613,33.97628021,55.78870392,253.791153,215.8269043,71.51165009,101.7989883,45.57054901,105.3484039,243.3867798,97.76883698,,31.69080544,53.65232849,94.35388947,225.3243103,186.660553,166.6103668,92.16999817
02-03-2023,33003.57031,85.3083725,67.86932373,116.6555099,171.3319397,334.3865662,37.52875137,144.7711639,279.7364502,134.7740784,210.0599976,25.57191849,176.6202393,245.2579956,120.9460983,465.1372681,152.8229675,145.6101837,,45.96664429,134.7800598,34.07386017,56.60383224,258.4763489,216.5188293,72.71533203,102.1426163,45.68435287,105.8329239,248.170105,98.14585876,,31.85286713,54.04071426,95.27777863,223.9410248,188.1799164,185.7653198,92.12999725
03-03-2023,33390.96875,86.36405945,68.39186859,118.3186646,174.9962158,342.0398254,38.01841354,149.8511963,284.9202271,135.7565002,215.1100006,25.76712418,177.0058746,248.3020782,121.6121368,465.9746399,155.0792236,147.1097412,,46.67702866,137.2545929,33.94078827,56.33843994,259.925354,221.1741638,72.46295166,102.0185242,45.73962402,107.1724548,252.3011627,100.3484879,,32.49208069,53.92974472,95.29701996,224.0077972,190.4734955,185.6060181,94.90000153
06-03-2023,33431.44141,85.33167267,68.99417114,117.5653534,174.9668884,342.0015259,37.98145294,152.6293335,284.6911316,135.1786041,211.9199982,25.36695099,176.7744598,247.0085907,122.1280823,468.1362305,156.2167511,148.5806427,,46.80963135,136.4520416,33.84321213,57.21043777,261.4419861,224.1195984,70.66714478,106.0465775,45.73312378,108.1224823,253.8626556,99.87225342,,31.91588211,52.81082916,95.76861572,224.2940063,190.6864014,182.9876556,93.75
07-03-2023,32856.46094,83.12715149,68.46318817,116.9979172,171.3124084,331.493866,37.27005386,150.416748,277.5216064,132.4914246,207.9199982,24.91798019,173.9013367,239.3837891,120.3082123,461.4177856,154.2049103,147.1766052,,46.3265686,132.4393005,33.63030243,56.87869644,258.0513,220.581131,69.04607391,106.2088394,45.27790451,106.0324173,251.1744995,98.28476715,,30.73648071,51.59944534,94.48860931,218.1979828,189.3121948,182.5097809,93.55000305
08-03-2023,32798.39844,83.18148804,68.93077087,117.2620621,170.8336029,334.568573,37.06679535,151.6768341,280.2908936,132.5106964,207.1999969,25.35718918,171.3945923,241.8929901,120.1206131,458.223999,153.2272186,146.0973206,,46.51601028,131.6558685,33.29320526,56.90713501,256.3124084,219.6125031,69.98764801,103.3548355,44.90397644,104.4838943,250.7297668,98.52288818,,31.04258347,52.02481461,93.73793793,217.9212952,189.2637939,182.1414032,93.91999817
09-03-2023,32254.85938,81.90846252,72.56036377,115.3152084,168.1855316,327.6720276,36.45701981,149.4146271,276.9349976,131.5379028,201.2400055,25.8061657,168.5645142,234.3459625,118.347641,452.6836548,150.8957367,144.4544983,,46.23185349,124.5284805,32.42383957,56.35739517,252.7381744,217.4577789,68.74514771,102.7057648,44.60158539,103.6763535,249.3659363,95.38761902,,29.97122383,50.95214081,92.3232193,215.402771,186.660553,177.9300995,92.25
10-03-2023,31909.64063,80.77516937,72.11657715,114.943428,161.9122772,313.8597717,36.39234924,147.3409271,275.3099365,132.1350555,203.0700073,26.56746674,170.2703094,220.7788696,117.6816025,449.8205261,150.1060638,144.8078918,,45.99506378,127.6908722,32.5391655,56.12044144,253.1246033,213.6326904,68.27920532,102.7916946,44.5365448,102.3938293,245.6795807,92.83773041,,29.94421196,49.82397842,92.39057922,217.3870697,187.0960236,172.4145966,90.73000336
13-03-2023,31819.14063,80.34046936,70.5078125,114.327095,154.0267792,302.2123108,36.82658386,149.2955475,275.5119019,133.0500488,203.3699951,26.30393791,166.9168701,218.5322723,117.803566,453.0940247,149.2035828,146.1928253,,45.85298538,125.3979034,32.41496658,56.68913269,254.1389008,211.9820557,67.22115326,100.9208374,44.66661453,101.2157974,250.9472046,91.87532043,,30.22330475,48.45539856,93.79567719,222.4527893,186.8734436,174.7342987,92.43000031
14-03-2023,32155.40039,79.78157806,72.25130463,116.4207077,160.163208,308.5724182,36.86354065,151.3990173,274.5984192,134.6970215,207.2799988,27.33852959,166.4710236,219.4756622,116.9311523,453.9735107,151.1307831,147.0142365,,46.45917511,128.61763,32.71658325,56.89765167,256.8630676,216.1234436,68.24038696,102.8142929,44.90397644,101.5958023,257.7368164,92.62937927,,29.97122383,48.35367584,94.62334442,219.9723816,186.7476501,182.0816803,94.87999725
